,DeepFool_2.82,FGSM_0.19,FGSM_2.75,FGSM_0.11,DeepFool_0.54,FGSM_0.28,BIM_0.16,FGSM_0.17,BIM_0.72,DeepFool_2.56,DeepFool_0.71,FGSM_2.48,DeepFool_2.69,CWL2_0.73,FGSM_0.3,FGSM_0.23,DeepFool_0.51,BIM_0.97,DeepFool_1.48,FGSM_0.25,DeepFool_1.93,DeepFool_2.1,BIM_0.8,DeepFool_0.74,DeepFool_1.73,DeepFool_2.26,BIM_0.88,DeepFool_2.43,DeepFool_0.57,BIM_0.64,FGSM_0.14,FGSM_0.33,BIM_0.28,DeepFool_0.77,DeepFool_0.82,DeepFool_0.68,BIM_0.55,DeepFool_2.98,DeepFool_0.62,DeepFool_0.8,FGSM_0.21,FGSM_2.62,DeepFool_3.12,DeepFool_0.6,DeepFool_0.65,BIM_0.47
DeepFool_2.82,92.2619,88.2754,76.3923,87.3954,86.153,88.5268,85.0766,88.6258,88.0221,93.0851,87.3691,73.2026,91.5569,89.6769,88.7365,86.0694,85.0376,88.4861,91.7158,88.2234,92.7688,93.1501,88.8105,89.6202,91.8853,92.443,87.6309,93.1346,87.57,86.0865,88.442,89.3084,88.3131,90.6469,88.4812,88.6215,86.8231,92.6102,88.0307,91.0826,87.0792,76.8326,92.6878,89.6517,88.3838,88.2065
FGSM_0.19,84.515,85.67,65.7347,85.876,80.4137,85.9819,83.553,85.2999,86.0378,86.0048,82.0446,62.5104,83.7147,87.0024,85.4582,84.0021,79.0158,86.343,84.729,86.0333,85.9414,85.4051,86.012,82.2387,85.3894,84.8517,84.8921,84.9362,81.7411,85.7645,86.3035,84.9106,86.2116,80.4385,81.5324,80.375,85.5442,85.1657,80.6706,82.5993,83.6295,65.3837,84.6413,82.4885,80.1802,85.4796
FGSM_2.75,97.5607,71.7956,99.9791,81.3467,58.857,85.9341,59.92,73.1044,78.0726,95.7216,70.2519,99.9604,96.8,76.5305,89.4481,79.9659,59.0234,87.9531,87.0152,86.8365,91.7491,95.7117,81.7087,84.9013,89.419,95.6669,80.9916,95.3921,73.9392,76.7196,70.7123,86.5926,75.3931,87.6056,78.1795,85.1022,73.4464,96.4555,76.1731,84.9385,85.019,99.9679,98.1867,82.5557,70.7141,81.3799
FGSM_0.11,85.8684,86.5244,65.7766,87.0991,83.1123,86.134,86.3906,87.6575,86.6691,86.3638,83.2414,60.818,83.8219,87.6489,86.7859,85.1861,80.1993,85.3519,85.2773,85.9644,86.9429,85.7665,86.4882,83.7647,86.7219,85.9388,86.7833,86.911,82.9503,86.8794,87.8697,85.7627,87.9082,83.5605,83.9646,82.0873,86.0108,85.622,82.4674,85.2188,85.6012,62.2338,84.9606,83.2218,82.5503,86.8938
DeepFool_0.54,94.1313,92.9638,72.0609,93.7991,98.5125,91.6673,89.6236,94.4857,89.0729,95.7181,98.6504,62.2332,93.2977,91.5186,91.4225,90.6557,98.3108,91.4067,96.8313,91.5311,96.6363,95.9188,90.0547,99.0018,96.5701,95.4884,86.5314,95.2983,98.2057,87.9148,94.7594,92.4304,90.8311,98.3236,98.2258,98.0394,88.7132,94.2986,98.7469,98.8058,89.1984,67.7523,92.9125,98.4977,98.3103,91.0503
FGSM_0.28,84.1355,84.3489,66.6195,82.4141,77.8255,85.0717,79.8959,82.695,83.1457,83.9619,77.9488,62.5251,81.7289,84.0158,84.1669,80.2875,76.1096,84.613,81.8605,84.4032,83.8915,83.179,84.229,79.2356,83.6643,83.0996,82.7706,83.9354,78.281,82.5456,84.3382,84.082,82.5956,80.701,79.2342,78.6096,83.5109,82.9834,79.0218,81.6526,82.8089,67.2699,82.5795,79.5523,77.7854,83.8216
BIM_0.16,89.2058,91.9942,64.8813,91.6418,85.7523,90.6407,91.1935,91.7455,91.9145,90.554,85.8536,57.6045,89.1369,91.9898,89.948,90.194,84.1257,91.8431,89.675,89.8459,90.3172,89.9852,92.2726,87.0414,91.3233,90.2024,91.397,90.2335,86.2839,91.6593,91.5254,88.7651,93.0966,85.9664,86.2696,84.39,92.0927,90.1844,85.3513,87.5603,90.6113,61.835,88.7342,86.4191,86.2239,92.0254
FGSM_0.17,85.027,86.0135,66.6901,86.4888,81.5819,86.3523,85.7639,87.6266,87.0541,85.641,82.1396,60.8908,83.9924,87.3465,86.1034,85.0341,79.9604,86.3085,84.1259,85.8671,85.9854,85.9606,86.6579,83.2441,86.224,84.9943,84.8716,86.5531,81.1684,86.3025,86.8635,85.2888,86.1826,82.5646,82.2728,81.6938,87.1424,85.1773,81.107,84.6733,85.4117,66.5662,84.842,82.1374,81.7747,86.5794
BIM_0.72,93.2243,95.03,67.0161,93.6366,89.5686,93.9924,93.3908,94.7387,96.8543,94.467,89.829,61.8586,92.4749,95.9415,94.3019,91.5839,88.3881,96.4939,91.933,94.6305,94.0508,94.3082,96.6445,90.6476,94.001,93.6486,96.1428,94.5866,89.3187,96.295,94.6943,93.9259,95.8336,90.4002,90.4832,88.3353,96.4135,93.6306,88.8674,91.4539,92.4284,68.7498,93.1149,90.9334,90.217,96.0883
DeepFool_2.56,92.8381,88.9056,76.0161,87.8664,86.4498,88.8276,85.9654,88.9364,88.3128,93.1642,88.0804,71.7457,92.0967,90.3185,89.5966,87.3853,85.9768,88.784,91.4689,88.8934,93.3854,92.7549,89.484,90.3988,92.5928,92.7686,87.9378,92.5436,88.924,86.5311,89.491,90.0697,88.8131,90.9978,89.3349,89.0618,86.6933,92.9953,89.1275,91.9407,87.148,75.9726,92.3255,90.8724,88.7873,89.3783
DeepFool_0.71,94.7854,94.0259,72.0517,94.3673,97.5189,92.417,91.4604,94.774,91.1816,95.6204,98.0009,62.1339,93.3915,93.338,92.716,92.1462,97.6028,93.0476,96.5959,92.8715,96.5239,96.1756,91.9118,98.7818,96.5191,95.2572,90.2498,95.5749,98.2893,90.5091,94.8582,92.72,92.7407,98.0377,97.6714,97.2979,91.6553,95.214,98.0697,98.3268,90.9599,68.1518,93.6208,97.6421,97.9111,92.4513
